# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 678  of event 'cache-misses'
# Event count (approx.): 5848014
#
# Overhead  Command         Shared Object         Symbol                
# ........  ..............  ....................  ......................
#
     0.01%  part2-parallel  [unknown]             [k] 0xffffffffa686a627
     0.01%  part2-parallel  [unknown]             [k] 0xffffffffa686a5f0
     0.01%  perf-exec       [unknown]             [k] 0xffffffffa797abc0
     0.00%  part2-parallel  [unknown]             [k] 0xffffffffa6b9b103
     0.00%  part2-parallel  [unknown]             [k] 0xffffffffa6b91f38
     0.00%  part2-parallel  [unknown]             [k] 0xffffffffa6b9b148
     0.00%  part2-parallel  [unknown]             [k] 0xffffffffa69579bf
     0.00%  part2-parallel  [unknown]             [k] 0xffffffffa69d6df5
     0.00%  part2-parallel  [unknown]             [k] 0xffffffffa6b9b1f0
     0.00%  part2-parallel  [unknown]             [k] 0xffffffffa69d6df7
     0.00%  perf-exec       [unknown]             [k] 0xffffffffa6b9b9e8
     0.00%  part2-parallel  [unknown]             [k] 0xffffffffa6a23891
     0.00%  part2-parallel  [unknown]             [k] 0xffffffffa6819ff4
     0.00%  part2-parallel  [unknown]             [k] 0xffffffffa69511c5
     0.00%  part2-parallel  [unknown]             [k] 0xffffffffa6b91f3f
     0.00%  part2-parallel  [unknown]             [k] 0xffffffffa680ddea


# Samples: 950  of event 'L1-dcache-loads'
# Event count (approx.): 183624889
#
# Overhead  Command         Shared Object         Symbol                
# ........  ..............  ....................  ......................
#
    83.40%  part2-parallel  part2-parallel        [.] compute_averages
     0.73%  part2-parallel  [unknown]             [k] 0xffffffffa6bc9b8c
     0.33%  part2-parallel  [unknown]             [k] 0xffffffffa699bd9a
     0.31%  part2-parallel  [unknown]             [k] 0xffffffffa6cb8ee8
     0.30%  part2-parallel  [unknown]             [k] 0xffffffffa7987717
     0.30%  part2-parallel  [unknown]             [k] 0xffffffffa7987dba
     0.30%  part2-parallel  [unknown]             [k] 0xffffffffa6bb76b5
     0.29%  part2-parallel  [unknown]             [k] 0xffffffffa6c1fe55
     0.29%  part2-parallel  [unknown]             [k] 0xffffffffa6c8181b
